Observatory;Data_year;agglomeration;Zone_complementaire;Type_habitat;epoque_construction_homogene;anciennete_locataire_homogene;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_obsservations;nombre_logements;methodologie_production
B0600;2014;Agglomération de Nice-Menton;;;5. Après 2005;;Ensemble 3P;11,1;12,2;13,3;14,9;16,0;13,5;630;796;886;1000;1148;894;66;552;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Maison;;;;6,9;8,8;10,6;12,8;14,5;10,8;582;677;800;1093;1523;947;88;926;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Maison;;;Maison 1-3P;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Maison;;;Maison 4P et plus;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Maison;;1. Moins 1 an;;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Maison;;1. Moins 1 an;Maison 1-3P;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Maison;;1. Moins 1 an;Maison 4P et plus;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Maison;;2. Un an et plus;;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Maison;;2. Un an et plus;Maison 1-3P;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Maison;;2. Un an et plus;Maison 4P et plus;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Maison;1. Avant 1946;;;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Maison;1. Avant 1946;;Maison 1-3P;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Maison;1. Avant 1946;;Maison 4P et plus;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Maison;1. Avant 1946;1. Moins 1 an;;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Maison;1. Avant 1946;2. Un an et plus;;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Maison;2. Entre 1946-1970;;;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Maison;2. Entre 1946-1970;;Maison 1-3P;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Maison;2. Entre 1946-1970;;Maison 4P et plus;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Maison;2. Entre 1946-1970;1. Moins 1 an;;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Maison;2. Entre 1946-1970;2. Un an et plus;;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Maison;3. Entre 1971-1990;;;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Maison;3. Entre 1971-1990;;Maison 1-3P;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Maison;3. Entre 1971-1990;;Maison 4P et plus;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Maison;3. Entre 1971-1990;1. Moins 1 an;;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Maison;3. Entre 1971-1990;2. Un an et plus;;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Maison;4. Entre 1991-2005;;;;;;;;;;;;;;;;;;
